Service Date,Total Invoiced Amount
2024-09-30,878.05
2024-10-01,884.89
2024-10-02,779.46
2024-10-03,1667.12
2024-10-04,1608.13
2024-10-05,789.15
2024-10-06,1218.26
2024-10-07,2021.56
2024-10-08,2550.23
2024-10-09,1054.53
2024-10-10,744.22
2024-10-11,2162.16
2024-10-12,1104.00
2024-10-13,1240.59
2024-10-14,796.63
2024-10-15,1069.13
2024-10-16,1790.94
2024-10-17,1276.99
2024-10-18,3030.39
2024-10-19,3934.15
2024-10-20,2318.19
2024-10-21,2463.12
2024-10-22,1627.13
2024-10-23,725.71
2024-10-24,187.01
2024-10-25,593.13
2024-10-26,571.25
2024-10-27,1092.27
2024-10-28,261.79
2024-10-29,516.82
2024-10-30,272.69
2024-10-31,1321.62
2024-11-01,2301.28
2024-11-02,1341.90
2024-11-03,857.26
2024-11-04,947.96
2024-11-05,2129.94
2024-11-06,1731.44
2024-11-08,1046.14
2024-11-09,2179.46
2024-11-10,1249.80
2024-11-11,1765.65
2024-11-12,2060.84
2024-11-13,1169.54
2024-11-14,2719.66
2024-11-15,1737.57
2024-11-16,1833.09
2024-11-17,460.38
2024-11-18,2206.20
2024-11-19,2782.77
2024-11-20,2924.27
2024-11-21,2258.73
2024-11-22,360.79
2024-11-23,2265.63
2024-11-24,1851.75
2024-11-26,811.59
2024-11-27,697.30
2024-11-28,3440.54
2024-11-29,252.24
2024-11-30,2051.86
2024-12-01,728.28
2024-12-02,890.59
2024-12-03,508.14
2024-12-04,849.90
2024-12-05,1776.46
2024-12-06,1425.73
2024-12-07,1391.64
2024-12-08,1037.11
2024-12-09,900.36
2024-12-10,1334.40
2024-12-11,2082.85
2024-12-12,1230.64
2024-12-13,353.75
2024-12-14,1024.48
2024-12-15,1134.01
2024-12-16,3637.03
2024-12-17,1774.74
2024-12-18,1997.47
2024-12-19,3967.61
2024-12-20,252.73
2024-12-21,663.08
2024-12-22,691.43
2024-12-23,2758.97
2024-12-24,442.63
2024-12-25,1927.50
2024-12-26,2822.39
2024-12-27,966.28
2024-12-28,1995.21
2024-12-29,1287.52
2024-12-31,1487.20
2025-01-01,3338.37
2025-01-02,861.83
2025-01-03,1762.12
2025-01-04,192.33
2025-01-06,1153.97
2025-01-07,3323.40
2025-01-08,681.51
2025-01-09,276.15
2025-01-10,553.10
2025-01-11,958.16
2025-01-13,1151.73
2025-01-14,941.64
2025-01-15,745.55
2025-01-16,1853.72
2025-01-17,569.85
2025-01-18,2326.70
2025-01-19,1299.00
2025-01-20,252.14
2025-01-21,3114.62
2025-01-22,374.97
2025-01-23,159.89
2025-01-24,1387.31
2025-01-25,2664.62
2025-01-26,1808.49
2025-01-27,1671.19
2025-01-28,392.12
2025-01-29,1349.40
2025-01-30,1173.39
2025-01-31,1287.05
2025-02-01,183.04
2025-02-02,1734.72
2025-02-03,1413.88
2025-02-04,1455.22
2025-02-05,3391.67
2025-02-06,1691.40
2025-02-07,1801.26
2025-02-08,640.06
2025-02-09,410.94
2025-02-10,1207.42
2025-02-11,1265.46
2025-02-12,341.06
2025-02-13,760.26
2025-02-14,2425.67
2025-02-15,2728.12
2025-02-16,2235.21
2025-02-17,1125.29
2025-02-18,1380.84
2025-02-19,948.31
2025-02-20,993.32
2025-02-21,994.19
2025-02-22,1571.51
2025-02-23,3188.97
